city,amount,mini,klein,kompakt,mittel,sonder,transporter,komfort
München,85895,1,8513,6437,46,68031,2451,415
Berlin,119852,15221,44633,15011,1896,33161,6286,3643
FrankfurtamMain,18908,1928,3550,3917,1976,5654,1239,643
Köln,81412,12268,24508,2579,1,39778,2276,1
Troisdorf,2995,18,2976,0,0,0,0,0
Bielefeld,2837,1,1539,766,0,530,0,0
Freiburg,10615,2776,3025,1707,85,2414,0,607
Aschaffenburg,3846,677,1287,97,0,1784,0,0
Trier,2205,466,1481,252,0,5,0,0
Stuttgart,29859,3072,12548,2677,182,8873,455,2051
Düsseldorf,3164,2,593,1191,638,3,0,736
BietigheimBissingen,587,0,200,0,0,386,0,0
Essen,6151,1337,1994,1595,56,754,0,414
Hannover,7645,1489,3304,1214,1,1633,1,1
Ravensburg,635,66,228,0,0,340,0,0
Karlsruhe,7200,1120,2558,1830,0,1691,0,0
Ingolstadt,2204,743,877,157,0,426,0,0
Kaiserslautern,1530,50,0,660,0,819,0,0
Mannheim,11105,1739,4226,2321,0,2267,0,551
Saarbrücken,3902,296,2321,770,0,514,0,0
Duisburg,7654,265,904,2438,67,3924,0,55
Ulm,4239,0,2040,779,45,974,0,400
Fulda,2734,0,1294,637,0,802,0,0
Schwerin,1962,742,2,671,0,546,0,0
Münster,2761,737,790,663,0,570,0,0
Rosenheim,1405,287,733,384,0,0,0,0
Mönchengladbach,508,0,125,0,0,382,0,0
Oberhausen,1125,209,550,2,0,363,0,0
Aachen,2126,287,1174,36,0,628,0,0
Heidelberg,3413,3,1452,861,0,1096,0,0
Siegburg,4737,713,1790,844,42,750,0,597
Friedrichshafen,1485,0,1414,70,0,0,0,0
Osnabrück,1853,1239,438,175,0,0,0,0
GarmischPartenkirchen,497,141,346,0,9,0,0,0
Hamm,1475,800,583,91,0,0,0,0
Jena,715,44,564,1,80,1,1,15
Krefeld,929,126,403,13,0,386,0,0
Wuppertal,1704,285,868,17,0,533,0,0
Offenburg,2474,780,868,202,0,623,0,0
StIngbert,236,0,198,0,0,37,0,0
Heusweiler,48,0,43,0,0,4,0,0
Heilbronn,2389,782,792,498,0,316,0,0
Potsdam,3087,0,1193,420,0,1005,0,468
Hamburg,218,0,67,67,12,0,0,71
LosheimamSee,93,0,83,0,0,9,0,0
HomburgSaar,438,0,401,0,0,36,0,0
Ottweiler,55,0,52,0,0,2,0,0
Weimar,589,66,522,0,0,0,0,0
Mettlach,68,0,60,0,0,7,0,0
Erfurt,713,1,711,0,0,0,0,0
Rostock,1247,0,686,560,0,0,0,0
Meckenbeuren,1335,0,1323,0,0,11,0,0
Hildesheim,722,0,468,0,0,253,0,0
Minden,750,658,89,2,0,0,0,0
MülheimRuhr,651,6,228,0,0,416,0,0
Ludwigsburg,889,0,888,0,0,0,0,0
Saarlouis,207,0,196,0,0,10,0,0
Eisenach,492,0,491,0,0,0,0,0
Kleinblittersdorf,17,0,15,0,0,1,0,0
StWendel,15,0,13,0,0,1,0,0
Salem,271,0,270,0,0,0,0,0
Dillingen,3,0,2,0,0,0,0,0
FlughBerlin,14,0,0,0,0,13,0,0
Wadern,6,0,3,0,0,2,0,0
Cottbus,529,0,0,528,0,0,0,0
Meschede,151,0,150,0,0,0,0,0
Deggenhausertal,939,0,0,0,938,0,0,0
Panketal,11,10,0,0,0,0,0,0
Eriskirch,50,0,0,49,0,0,0,0
Ludwigshafen,63,0,54,8,0,0,0,0
Bayreuth,81,0,80,0,0,0,0,0
Markdorf,79,0,0,78,0,0,0,0
Leverkusen,77,0,76,0,0,0,0,0
Bochum,21,8,0,12,0,0,0,0
Leipzig,5,0,4,0,0,0,0,0
