City,amount,x,y,bev
München,85894,11.580425199213000,48.160272256677000,1472
Berlin,119851,13.427448123693466,52.536091947038990,3769
FrankfurtamMain,18907,8.640307188034058,50.106570300512990,753
Köln,81409,6.919519901275635,50.947518154776220,1061
Troisdorf,2994,7.148592059638986,50.814947841357050,75
Bielefeld,2836,8.533126115798950,52.030548127242035,333
Freiburg,10614,7.839553000000000,47.997146000000000,229
Aschaffenburg,3845,9.144830703735351,49.981667892009890,70
Trier,2204,6.650912761688232,49.755825837002620,115
Stuttgart,29858,9.113963842391968,48.727192895656370,635
Düsseldorf,3163,6.793541908264160,51.220902778882040,612
Bietigheim-Bissingen,586,9.138253927230835,48.947589875584250,42
Essen,6150,7.015352070000000,51.450790200000000,583
Hannover,7640,9.742059588388656,52.378047411591040,532
Ravensburg,634,9.605381858791361,47.783993331103396,284
Karlsruhe,7199,8.402084112167358,48.992414969316920,313
Ingolstadt,2203,11.437529325485230,48.742167839573330,137
Kaiserslautern,1529,7.767500281333923,49.435967457348130,100
Mannheim,11104,8.474535942077637,49.479306455208980,309
Saarbrücken,3901,6.992834061384201,49.240798476451250,178
Duisburg,7653,6.776842474937439,51.428315297838650,491
Ulm,4238,9.983450174331665,48.401314647117715,126
Fulda,2733,9.683824717649259,50.553967253189300,223
Schwerin,1961,11.406887769699097,53.633873801997470,96
Münster,2760,7.637563347816467,51.957559454713970,310
Rosenheim,1404,12.121267318725586,47.849598793430060,63
Mönchengladbach,507,6.445922255516052,51.197515718563420,260
Oberhausen,1124,6.853648240000000,51.474186700000000,211
Aachen,2125,6.089295744895935,50.767475869238840,246
Heidelberg,3412,8.674950599670410,49.404882344667065,160
Siegburg,4736,7.202584147453308,50.794793731273934,40
Friedrichshafen,1484,9.453220367431640,47.657323149811820,53
Osnabrück,1852,8.059410452842712,52.274217091579480,165
GarmischPartenkirchen,496,11.095555722713470,47.490960280494520,26
Hamm,1474,7.809127201223419,51.677795465019535,179
Jena,608,11.586321602113344,50.925767776668650,110
Krefeld,928,6.571258000000000,51.326562000000000,225
Wuppertal,1703,7.151847481727600,51.255674054453420,350
Offenburg,2473,7.946333885192871,48.477736503493810,60
StIngbert,235,7.111394000000000,49.274261000000000,38
Heusweiler,47,6.929197626983637,49.335959141717310,20
Heilbronn,2388,9.207342267036438,49.142425331347810,126
Potsdam,3086,13.067186000000000,52.390656000000000,178
Hamburg,217,10.136475563049316,53.593638266430820,1899
LosheimamSee,92,6.745366000000000,49.506154000000000,16
HomburgSaar,437,7.345561915344206,49.309344030436290,44
Ottweiler,54,7.165940169311511,49.403154073602170,15
Weimar,588,11.326589887835667,50.990566900515795,66
Mettlach,67,6.598247000000000,49.494910000000000,12
Erfurt,712,11.038322322467820,50.973108839213204,210
Rostock,1246,12.132500410079956,54.077979507954446,209
Meckenbeuren,1334,9.559291005134582,47.700223989539545,13
Hildesheim,721,9.952132701873780,52.160606264053506,277
Minden,749,8.935800790786743,52.290724470312554,82
MülheimRuhr,650,6.885443866231071,51.430091733534230,171
Ludwigsburg,888,9.191786862600338,48.895863980925490,544
Saarlouis,206,6.753995626983624,49.313659079651190,38
Eisenach,491,10.331864398811376,50.975971142270870,43
Kleinblittersdorf,16,7.033782000000000,49.156445000000000,13
StWendel,14,7.165736000000000,49.466625000000000,27
Salem,270,9.296038000000000,47.757982000000000,11
Dillingen,2,6.723433000000000,49.352753000000000,96
FlughBerlin,13,13.290109634399414,52.554280863358070,14
Wadern,5,6.892512000000000,49.538647000000000,17
Cottbus,528,14.323607683181763,51.750006727934250,100
Meschede,150,8.257040999999958,51.347660413974050,31
Deggenhausertal,938,9.391250300000024,47.782527100000000,4
Panketal,10,13.532826748558023,52.659993306801350,19
Eriskirch,49,9.540414699999928,47.625539400000000,5
Ludwigshafen,62,8.437579178698797,49.477614585716150,167
Bayreuth,80,11.579877734223146,49.948747497442140,75
Markdorf,78,9.389079093671171,47.716759451392760,13
Leverkusen,76,8.472858048239572,49.478163033137880,163
Bochum,20,13.357229232788086,52.482237908404060,365
Leipzig,4,13.357229232788086,52.482237908404060,560
